"","number","contract_name","name...3","address","banking","bonus","bike_stands","available_bike_stands","available_bikes","status","last_update","position.lat","position.lng","address_found","place_id","licence","osm_type","osm_id","osm_lat","osm_lon","class","type","place_rank","importance","addresstype","name...26","house_number","road","suburb","city","municipality","county","ISO3166-2-lvl6","state_district","state","ISO3166-2-lvl4","region","postcode","country","country_code","quarter","amenity","village","man_made","town","neighbourhood","leisure","highway","shop","hamlet","commercial","office"
"1",2010,"lyon","2010 - CONFLUENCE / DARSE","ANGLE ALLEE ANDRE MURE ET QUAI ANTOINE RIBOUD",TRUE,FALSE,22,17,5,"OPEN",1698534512000,45.743317,4.815747,"3, Allée André Mure, Confluence, Lyon 2e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69002, France",76438164,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","node",2636383055,"45.7440027","4.8163732","place","house",30,9.99999999995449e-06,"place","","3","Allée André Mure","Confluence","Lyon","Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69002","France","fr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5015,"lyon","5015 - FULCHIRON","Devant le n°41 rue de la Quarantaine",TRUE,FALSE,19,8,11,"OPEN",1698534635000,45.75197,4.821662,"Rue de la Quarantaine, Quarantaine, Lyon 5e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69005, France",76644870,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","way",4378794,"45.751956098856546","4.8216807683396805","highway","residential",26,0.10001,"road","Rue de la Quarantaine",NA,"Rue de la Quarantaine","Lyon 5e Arrondissement","Lyon","Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69005","France","fr","Quarantaine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",32001,"lyon","32001 - COUZON - CENTRE","",TRUE,FALSE,17,6,11,"OPEN",1698534348000,45.846034,4.832409,"Couzon - Centre, Quai Jean Lavergne, Couzon-au-Mont-d'Or, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69270, France",76705661,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","node",7127007664,"45.8459842","4.8324","amenity","bicycle_rental",30,9.99999999995449e-06,"amenity","Couzon - Centre",NA,"Quai Jean Lavergne",NA,NA,"Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69270","France","fr",NA,"Couzon - Centre","Couzon-au-Mont-d'Or",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",6004,"lyon","6004 - FOCH","Angle rue Vendôme",TRUE,FALSE,20,11,8,"OPEN",1698534537000,45.768896,4.844845,"Cours Franklin Roosevelt, Les Brotteaux, Lyon 6e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69006, France",368704486,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","node",11222504856,"45.7689171","4.844857","amenity","recycling",30,9.99999999995449e-06,"amenity","",NA,"Cours Franklin Roosevelt","Les Brotteaux","Lyon","Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69006","France","fr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",7035,"lyon","7035 - MARSEILLE / UNIVERSITÉ","Angle rue de Marseille",TRUE,FALSE,40,32,8,"OPEN",1698534439000,45.750945,4.83927,"Place du Départ, Chevreul, Lyon 7e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69007, France",76716344,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","way",954178802,"45.751132049999995","4.839098386051503","highway","pedestrian",26,0.10001,"road","Place du Départ",NA,"Place du Départ","Lyon 7e Arrondissement","Lyon","Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69007","France","fr","Chevreul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",10120,"lyon","10120 - SALENGRO / DESCARTES","41 AV. ROGER SALENGRO (VILLEURBANNE)",TRUE,FALSE,15,8,7,"OPEN",1698534579000,45.776239,4.871634,"Salengro / Descartes, Avenue Roger Salengro, Charpennes, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France",76718065,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","node",1362633762,"45.7762558","4.8716316","amenity","bicycle_rental",30,9.99999999995449e-06,"amenity","Salengro / Descartes",NA,"Avenue Roger Salengro","Charpennes","Villeurbanne","Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69100","France","fr",NA,"Salengro / Descartes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5016,"lyon","5016 - POINT DU JOUR / GRANGES","Devant la mairie du 5°",FALSE,TRUE,13,13,0,"OPEN",1698534544000,45.756204,4.802727,"49, Avenue du Point du Jour, Point du Jour, Lyon 5e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69005, France",76652269,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","node",3734602192,"45.7561412","4.8027184","place","house",30,9.99999999995449e-06,"place","","49","Avenue du Point du Jour","Point du Jour","Lyon","Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69005","France","fr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",9013,"lyon","9013 - QUAI PAUL SÉDALLIAN","Angle rue de la Navigation",FALSE,FALSE,20,20,0,"OPEN",1698534719000,45.787522,4.814418,"Quai Paul Sédallian, L’Industrie, Vaise, Lyon 9e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69009, France",76722640,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","way",893184648,"45.78745701698541","4.814497554963326","highway","primary",26,0.10001,"road","Quai Paul Sédallian",NA,"Quai Paul Sédallian","Vaise","Lyon","Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69009","France","fr","L’Industrie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",10028,"lyon","10028 - ECOLE DE MUSIQUE","Cours de la République/Angle Anatole France",TRUE,FALSE,24,3,21,"OPEN",1698534780000,45.767467,4.874032,"École de Musique, Cours de la République, Charpennes, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France",76626321,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","node",1362204792,"45.767488","4.8739948","amenity","bicycle_rental",30,9.99999999995449e-06,"amenity","École de Musique",NA,"Cours de la République","Charpennes","Villeurbanne","Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69100","France","fr",NA,"École de Musique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",6041,"lyon","6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD","50 QUAI ACHILLE LIGNON",FALSE,FALSE,22,1,21,"OPEN",1698534682000,45.78458,4.859664,"Pont de chemin de fer de Saint-Clair, Boulevard Périphérique Nord, Saint-Clair, Caluire-et-Cuire, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69300, France",76630964,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","way",275012299,"45.787095199999996","4.859927329515418","man_made","bridge",30,9.99999999995449e-06,"man_made","Pont de chemin de fer de Saint-Clair",NA,"Boulevard Périphérique Nord","Saint-Clair",NA,"Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69300","France","fr",NA,NA,NA,"Pont de chemin de fer de Saint-Clair","Caluire-et-Cuire",NA,NA,NA,NA,NA,NA,NA
"11",10011,"lyon","10011 - GRATTE-CIEL","174 COURS EMILE ZOLA",TRUE,FALSE,16,4,11,"OPEN",1698534794000,45.769226,4.880491,"Gratte-Ciel Branly, Cours Émile Zola, Gratte-Ciel, Villeurbanne, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69100, France",76623232,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","node",1436365072,"45.7692219","4.8805","amenity","bicycle_parking",30,9.99999999995449e-06,"amenity","Gratte-Ciel Branly",NA,"Cours Émile Zola","Gratte-Ciel","Villeurbanne","Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69100","France","fr",NA,"Gratte-Ciel Branly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",15002,"lyon","15002 - ST PRIEST - CITE BERLIET","",FALSE,FALSE,20,5,15,"OPEN",1698534211000,45.70597,4.900886,"8ème Rue, Cité Berliet, Berliet et environs, Saint-Priest, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69800, France",76473525,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright","way",384853677,"45.70599629492932","4.900854878145274","highway","unclassified",26,0.10001,"road","8ème Rue",NA,"8ème Rue","Berliet et environs",NA,"Lyon","Métropole de Lyon","FR-69M","Rhône","Auvergne-Rhône-Alpes","FR-ARA","France métropolitaine","69800","France","fr",NA,NA,NA,NA,"Saint-Priest","Cité Berliet",NA,NA,NA,NA,NA,NA
